Participant_ID,Overall_Ease_of_Use,Multimodal_Feature_Effectiveness,Preferred_Learning_Style_Visual,Preferred_Learning_Style_Aural,Preferred_Learning_Style_ReadWrite,Preferred_Learning_Style_Kinesthetic,Platform_Performance,Influence_of_Content_Creation,Skill_Improvement_Digital_Literacy,Skill_Improvement_Problem_Solving,Skill_Improvement_Creative_Skills,Adaptability_to_Learning_Style,Advantage_over_Traditional_LMS,Satisfaction_with_Current_Features,Overall_Value
1,4,5,1,0,1,0,5,4,4,5,4,4,4,3,5
2,3,3,0,1,0,1,3,2,3,3,2,3,2,2,3
3,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5
4,2,3,0,0,1,0,2,2,2,3,2,2,1,1,2
5,4,4,1,0,0,1,4,3,4,4,3,4,3,3,4
6,5,4,1,0,1,0,5,4,5,4,4,4,4,3,5
7,3,2,0,1,0,0,3,1,2,2,1,2,2,2,2
8,4,5,1,1,0,0,4,4,4,5,4,5,4,4,5
9,3,3,0,0,1,1,3,3,3,3,3,3,3,3,3
10,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5
11,4,4,1,0,0,0,4,3,3,4,4,4,4,3,4
12,2,3,0,1,0,0,2,1,2,2,2,2,1,2,2
13,5,5,1,0,0,1,5,5,5,5,5,5,5,4,5
14,3,2,0,0,1,0,3,2,3,2,2,3,2,2,3
15,4,4,0,0,0,1,4,3,4,4,4,4,3,3,4
16,5,4,1,0,1,0,5,4,5,4,4,4,4,4,5
17,3,2,0,1,0,0,3,1,2,2,1,2,2,2,2
18,4,5,1,0,0,0,4,4,4,5,4,5,4,4,5
19,3,3,0,0,1,1,3,3,3,3,3,3,3,3,3
20,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5
21,4,3,1,0,0,0,4,2,3,4,3,3,3,3,4
22,2,4,0,1,0,1,3,3,4,3,3,4,3,3,3
23,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5
24,3,2,0,0,1,0,2,1,2,2,1,2,2,2,2
25,4,5,1,0,0,1,4,4,4,5,4,4,4,4,5
26,5,4,1,0,1,0,5,4,5,4,4,4,4,4,5
27,3,3,0,1,0,0,3,2,3,2,2,3,2,2,3
28,4,5,1,1,0,0,4,4,4,5,4,5,4,4,5
29,3,3,0,0,1,1,3,3,3,3,3,3,3,3,3
30,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5
31,2,2,0,0,1,0,2,1,2,2,2,2,1,2,2
32,4,4,1,0,0,1,4,3,4,4,3,4,3,3,4
33,3,3,0,1,0,0,3,2,3,2,2,3,2,2,3
34,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5
35,4,4,1,0,0,0,4,3,3,4,4,4,4,3,4
36,2,3,0,1,0,1,3,2,3,3,2,3,2,2,3
37,5,4,1,0,1,0,5,4,5,4,4,4,4,4,5
38,4,5,1,1,0,0,4,4,4,5,4,5,4,4,5
39,3,3,0,0,1,1,3,3,3,3,3,3,3,3,3
40,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5